Year,Month,Coastal Avg,Middle Avg,Northern Avg
1997,9,26.51066667,26.13638889,27.295
1997,10,27.29709677,26.91801075,28.28629032
1997,11,27.755,27.35611111,28.75291667
1997,12,27.87967742,27.20994624,27.78548387
1998,1,27.85258065,27.28790323,27.86693548
1998,2,29.51928571,29.36428571,31.34553571
1998,3,30.04096774,30.68091398,32.65362903
1998,4,29.672,29.44972222,32.97
1998,5,28.15387097,28.01236559,30.48709677
1998,6,27.101,26.53611111,28.15625
1998,7,25.93580645,25.5172043,27.30604839
1998,8,25.14516129,24.92419355,25.30967742
1998,9,26.24066667,25.88305555,26.51083333
1998,10,27.24645161,26.47150538,28.13709677
1998,11,28.23733333,27.68222222,29.03916667
1998,12,28.01451613,27.18037634,28.0641129
1999,1,27.83677419,27.7561828,28.52580645
1999,2,28.05178571,27.86875,29.29821429
1999,3,28.49419355,26.20322581,32.53145161
1999,4,28.15966667,27.81055556,31.23333333
1999,5,27.82935484,27.44645161,30.14516129
1999,6,26.92966667,26.61083333,28.21666667
1999,7,26.02741935,25.45548387,26.5641129
1999,8,25.21548387,25.27032258,26.1733871
1999,9,25.483,25.44272222,26.21375
1999,10,26.44645161,25.84978495,27.275
1999,11,27.64066667,27.01316667,28.9475
1999,12,28.07580645,26.91908602,27.16975806
2000,1,27.59451613,27.51290323,29.04435484
2000,2,28.14413793,27.97241379,28.15387931
2000,3,28.89419355,29.3322043,31.45201613
2000,4,24.98966667,28.26022222,31.8325
2000,5,27.86258065,27.69569893,30.01612903
2000,6,26.63733333,26.16538889,27.25625
2000,7,25.47903226,25.09715054,26.5391129
2000,8,25.21290323,24.86994624,26.2483871
2000,9,25.93933333,25.50716667,26.40291667
2000,10,26.92806452,26.44225806,27.86048387
2000,11,27.94733333,27.41222222,28.93791667
2000,12,27.64354839,26.76129032,24.65524194
2001,1,27.53935484,27.50494624,27.64354839
2001,2,28.60535714,28.94654762,29.33169643
2001,3,28.52290323,28.75010753,32.54435484
2001,4,28.10366667,27.92605556,31.65125
2001,5,27.86967742,27.85322581,29.79395161
2001,6,26.59633333,26.44944444,27.92
2001,7,25.74419355,25.46290323,26.96532258
2001,8,24.77548387,24.74586021,26.23064516
2001,9,25.54833333,25.14877778,26.65416667
2001,10,27.1683871,26.86510753,29.0016129
2001,11,27.95266667,25.48027778,29.48333333
2001,12,28.2883871,28.02930108,28.93508065
2002,1,27.67645161,27.47231183,27.78575269
2002,2,28.7125,29.44464286,30.08556548
2002,3,28.65870968,29.01209677,33.1327957
2002,4,28.40066667,26.70944444,31.87611111
2002,5,28.28580645,27.47365591,30.4
2002,6,26.5,20.77777778,28.39833333
2002,7,25.75290323,18.44946237,27.37715054
2002,8,25.14354839,24.83145161,26.30094086
2002,9,25.68366667,25.6775,26.92166667
2002,10,26.90645161,26.41612903,28.06827957
2002,11,27.86466667,27.27055556,28.87680556
2002,12,27.74967742,26.67365591,27.75456989
2003,1,27.9583871,27.6466129,28.40080645
2003,2,28.78392857,29.10738095,31.49508929
2003,3,29.13612903,29.51451613,32.20698925
2003,4,28.18166667,27.88416667,31.00972222
2003,5,28.17774194,28.03629032,30.29516129
2003,6,26.44433333,26.03055556,27.22402778
2003,7,25.7416129,25.46881721,26.8641129
2003,8,25.28903226,25.23037634,26.57473118
2003,9,26.507,26.06138889,26.89583333
2003,10,20.64225806,26.91612903,28.66048387
2003,11,27.9805,27.20388889,29.055
2003,12,23.84225806,26.61370968,27.84556452
2004,1,23.02870968,27.47526882,28.54395161
2004,2,28.77310345,28.64683908,30.39051724
2004,3,29.34935484,28.88924731,31.31693548
2004,4,28.547,28.07222222,30.77125
2004,5,27.76032258,27.12741936,28.97983871
2004,6,26.31766667,25.97305556,27.09333333
2004,7,25.37677419,25.06693548,26.30604839
2004,8,25.15709677,24.96505376,26.27701613
2004,9,26.42233333,25.76111111,26.5
2004,10,27.04451613,26.59811828,28.80080645
2004,11,28.032,27.25861111,22.78041667
2004,12,28.37612903,27.41935484,29.13387097
2005,1,27.2316129,26.38413978,27.36451613
2005,2,29.31357143,29.43422619,32.08883929
2005,3,28.87,28.78844086,32.86290323
2005,4,29.267,28.61944444,31.91291667
2005,5,27.76967742,27.4266129,30.02217742
2005,6,26.54633333,26.06055556,27.82875
2005,7,25.6516129,25.06048387,26.62862903
2005,8,24.89483871,24.5938172,26.35766129
2005,9,26.519,25.99555556,27.15291667
2005,10,27.31645161,26.69274194,26.11814516
2005,11,28.16233333,27.40972222,29.16277778
2005,12,28.29935484,27.0844086,28.63454301
2006,1,28.05741935,27.72607527,29.26317204
2006,2,28.735,28.56071429,30.934375
2006,3,28.83354839,28.22177419,32.89448925
2006,4,29.25733333,28.69472222,30.39041667
2006,5,27.56387097,27.26102151,29.67943548
2006,6,27.08333333,26.63472222,28.45583333
2006,7,26.36548387,25.80188172,27.41169355
2006,8,25.7083871,25.4327957,26.74905914
2006,9,26.273,25.7725,26.57194444
2006,10,27.26548387,26.72983871,27.17741935
2006,11,28.116,27.28583333,27.89625
2006,12,28.27387097,27.03844086,27.1561828
2007,1,27.41,27.07634409,26.93561828
2007,2,29.03,29.19404762,30.76577381
2007,3,28.97,29.38010753,32.44637097
2007,4,28.629,28.06,30.74527778
2007,5,28.27612903,27.47715054,29.20282258
2007,6,26.54933333,26.37722222,28.30902778
2007,7,25.99387097,25.64784946,27.43938172
2007,8,25.73193548,25.18897849,25.99099462
2007,9,26.07166667,25.855,26.78791667
2007,10,26.68645161,26.32741936,28.34274194
2007,11,27.714,27.09694445,29.27444445
2007,12,28.00741935,27.10188172,27.80483871
2008,1,26.89451613,26.24086021,25.63709677
2008,2,28.76172414,28.96522989,27.20474138
2008,3,28.64032258,28.74155914,31.84758065
2008,4,28.33466667,28.14305556,31.50666667
2008,5,27.71290323,27.42263441,29.98830645
2008,6,26.877,26.48405556,27.96833333
2008,7,26.50903226,25.60505376,26.71008065
2008,8,25.88677419,25.45284946,26.10766129
2008,9,26.29333333,26.05911111,26.715
2008,10,27.52645161,26.91091398,27.99475806
2008,11,28.11966667,27.74877778,28.4825
2008,12,28.29419355,27.4544086,28.64475806
2009,1,27.76225806,27.31478495,27.20362903
2009,2,28.59964286,28.73309524,31.53794643
2009,3,28.82580645,28.7227957,32.47298387
2009,4,28.231,27.91894445,30.71375
2009,5,28.07806452,27.86225806,29.87903226
2009,6,26.827,26.66433333,28.07708333
2009,7,25.92677419,25.42516129,26.6125
2009,8,25.23322581,25.25322581,26.35927419
2009,9,25.98433333,26.02511111,26.82625
2009,10,27.03451613,26.69854839,27.77943548
2009,11,28.09933333,27.24405556,28.33041667
